Location,Gender,Age group,Count
Quebec,Total - gender,17 years,94563
Quebec,Total - gender,18 years,93545
Quebec,Total - gender,19 years,96489
Quebec,Total - gender,20 years,100056
Quebec,Total - gender,21 years,101006
Quebec,Total - gender,22 years,102921
Quebec,Total - gender,23 years,105497
Quebec,Total - gender,24 years,109190
Quebec,Total - gender,25 years,109818
Quebec,Total - gender,26 years,113827
Quebec,Total - gender,27 years,118341
Quebec,Total - gender,28 years,121870
Quebec,Total - gender,29 years,124060
Quebec,Total - gender,30 years,125174
Quebec,Total - gender,31 years,127835
Quebec,Total - gender,32 years,130302
Quebec,Total - gender,33 years,131805
Quebec,Total - gender,34 years,129643
Quebec,Total - gender,35 years,122920
Quebec,Total - gender,36 years,118935
Quebec,Total - gender,37 years,118428
Quebec,Total - gender,38 years,119904
Quebec,Total - gender,39 years,121100
Quebec,Total - gender,40 years,122010
Quebec,Total - gender,41 years,122022
Quebec,Total - gender,42 years,124291
Quebec,Total - gender,43 years,127294
Quebec,Total - gender,44 years,126861
Quebec,Total - gender,45 to 49 years,586056
Quebec,Total - gender,50 to 54 years,526311
Quebec,Total - gender,55 to 59 years,557391
Quebec,Total - gender,60 to 64 years,629716
Quebec,Total - gender,65 years and older,1908944
Quebec,Men+,16 years,49781
Quebec,Men+,17 years,48533
Quebec,Men+,18 years,47694
Quebec,Men+,19 years,49542
Quebec,Men+,20 years,51371
Quebec,Men+,21 years,52124
Quebec,Men+,22 years,53451
Quebec,Men+,23 years,55046
Quebec,Men+,24 years,56783
Quebec,Men+,25 years,57493
Quebec,Men+,26 years,59323
Quebec,Men+,27 years,61995
Quebec,Men+,28 years,63820
Quebec,Men+,29 years,64980
Quebec,Men+,30 years,65540
Quebec,Men+,31 years,66794
Quebec,Men+,32 years,67717
Quebec,Men+,33 years,68362
Quebec,Men+,34 years,67065
Quebec,Men+,35 years,63701
Quebec,Men+,36 years,61482
Quebec,Men+,37 years,60641
Quebec,Men+,38 years,61785
Quebec,Men+,39 years,61943
Quebec,Men+,40 years,62597
Quebec,Men+,41 years,62390
Quebec,Men+,42 years,63978
Quebec,Men+,43 years,65320
Quebec,Men+,44 years,65140
Quebec,Men+,45 to 49 years,299096
Quebec,Men+,50 to 54 years,267318
Quebec,Men+,55 to 59 years,281461
Quebec,Men+,60 to 64 years,315225
Quebec,Men+,65 years and older,888922
Quebec,Women+,16 years,47834
Quebec,Women+,17 years,46030
